"id","studentId","stats","avatar","weekChlId","knowledgeLvl","weekChlScore","weekChlWinner"
50,3288,"{""c"":[0,0,0,0,0,1],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[1.8,5.25,77,15]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20465}","w63060003",157,4,"0.00",0
51,3218,"{""c"":[0,0,0,0,0],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20464}","w63060003",157,4,"0.00",0
52,1136,"{""c"":[0,0,0,0.14,0,0.29,0.28,0.86],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[3.57,17,5,20],[0,0,0,0],[0,0,0,0],[0,0,0,0],[5.65,113,0,113]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[3.6,3.75,10,6],[3.3,3.25,3,4]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[1.48,37,3,39],[1.52,38,21,49],[0,0,0,0]],""d"":20495}","p310610a3",810,4,"0.00",0
56,3272,"{""c"":[1],""m"":[[2.31,11,0,11]],""t"":[[0,0,0,0]],""g"":[[0,0,0,0]],""d"":20437}","w63060003",NULL,1,"0.00",0
58,2372,"{""c"":[1],""m"":[[7.199999999999999,10,0,10]],""t"":[[3.25,1.25,27,5]],""g"":[[0,0,0,0]],""d"":20437}","w63060003",181,3,"0.00",0
59,2426,"{""c"": [], ""m"": [], ""t"": [], ""g"": [], ""d"": null}","w63060003",181,3,"0.00",0
60,2380,"{""c"":[1],""m"":[[0.41,1,2,1]],""t"":[[0,0,0,0]],""g"":[[0,32,21,44]],""d"":20437}","w63060003",181,3,"0.00",0
61,2378,"{""c"":[1],""m"":[[0.82,2,4,3]],""t"":[[0,0,0,0]],""g"":[[0,38,9,44]],""d"":20437}","w63060003",181,3,"0.00",0
62,2373,"{""c"": [], ""m"": [], ""t"": [], ""g"": [], ""d"": null}","w63060003",181,3,"0.00",0
63,2393,"{""c"": [], ""m"": [], ""t"": [], ""g"": [], ""d"": null}","w63060003",181,3,"0.00",0
